,X0,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,cluster,.average.sd
0,-94900.5321663,-253.247157472,-108.588679795,24.1965569237,-30.8185423136,0.509532779513,5.69185626854,-0.088401662049,13.108035981,-1.82940905712,0.399191284396,-1.20343819629,-3.35805628994,-0.901618955327,1.19732056432,0.155961081559,-0.145909987119,-0.142363583705,-0.0517987066404,-0.00821214320203,2.0,161.642632319
1,-56571.6543625,-269.937618473,153.164451633,8.93803836324,14.2200975145,-4.75400334938,18.5649533997,2.57555738724,6.29474009309,-0.291630203465,1.48614262356,1.06938455573,2.43820033765,0.872080094829,0.310144203079,-0.592949806287,-0.15758204506,0.0458109988531,0.0313217843297,-0.031570415188,2.0,161.642632319
2,31040.4421228,-282.297742964,-21.4044518773,-2.77432659901,0.748039752539,0.618690152407,3.90979232403,4.3917951896,-2.03589470338,-1.16982893945,-7.01742350586,3.15252520283,-0.483605292961,-1.03127648667,0.276156319089,-0.00113204935629,-0.0889541970525,0.0102901736703,0.0815038344295,-0.0855855099066,3.0,161.642632319
3,45751.4796201,-282.314180004,-88.2289878246,-4.87255284976,10.4335487934,3.73548341604,-14.7881860615,2.64188494964,-0.389318339006,-0.231942283754,0.173474314157,-0.676508799632,0.94106872775,-0.664030799954,0.0376589778587,-0.0582715736994,-0.073445473866,-0.0205824055353,0.151868440348,0.0201100025737,3.0,161.642632319
4,34936.4155069,-283.348258873,37.9135830371,5.65672587994,13.5470733368,17.0882815663,2.47490399613,-1.89744089774,5.5526586349,-0.577790893925,1.48322110087,1.51604739914,-0.190130394714,0.495336870487,0.234590410222,-0.379133277129,-0.210941582711,-0.0771172745904,0.128788446482,0.160092406342,3.0,161.642632319
5,-266.654064992,-278.940847832,165.971051303,8.13630918532,8.44803790439,-2.00661384642,8.89555274225,-3.83037858671,3.62771304451,0.841744691879,1.52383821419,2.17279424085,2.91609459784,-1.53911706405,-0.565796353974,1.41534379144,1.20130397178,-0.236001259722,-0.0648308959385,0.0370858960575,4.0,161.642632319
6,-36087.5653659,-263.556530778,-18.674002153,9.57789564861,3.63780070517,-13.3731525783,10.456939793,-14.1119312112,-4.12448837223,-2.81547892865,-3.09614126141,-0.497230193667,-0.739827941366,-0.0710397873488,-2.69850573597,0.818850464093,-0.527400828705,-0.405476976547,-0.0374030418619,0.0451853442082,6.0,161.642632319
7,-45849.5466243,-258.908183302,-58.5320605119,7.39782995257,-3.38750571159,2.55488211908,1.43996678175,8.14983562825,3.27083511483,-1.19058407577,-1.79166202638,-3.54447033455,0.913786793562,0.798223580574,0.390801424521,-0.00133463012069,-0.112861251553,0.920669571602,0.0907463286029,-0.0688263392297,2.0,161.642632319
8,-13419.5777464,-267.629581437,11.9191630586,4.21003338913,5.04002992705,-1.42725253918,9.90272098281,-5.55577616109,-1.58394070816,-0.0838057507759,-6.64421877493,-0.762305249716,1.9649657721,-1.41835317293,0.885639344758,0.107278918751,-0.115949231335,0.039384422988,0.0244005302566,-0.0465087287616,6.0,161.642632319
9,36831.4366405,-277.095868675,-6.37240198867,-9.68269935599,3.61818283796,-3.77420198583,2.78896606429,3.63575518232,-2.32521840275,0.796769224207,0.636650786085,-2.30042355135,-1.64926274542,-0.506121690921,0.379960106411,0.172703205822,-0.103614841143,0.0020408676683,-0.0474884175166,0.0180872496333,3.0,161.642632319
